"","Generation","O","Y","B"
"1",0,0.3306,0.3345,0.3349
"2",1,0.2414,0.5365,0.2221
"3",2,0.2029,0.6236,0.1735
"4",3,0.1796,0.6713,0.1491
"5",4,0.1737,0.6999,0.1264
"6",5,0.1725,0.7143,0.1132
"7",6,0.1813,0.7164,0.1023
"8",7,0.1933,0.716,0.0907
"9",8,0.2054,0.7141,0.0805
"10",9,0.2176,0.709,0.0734
"11",10,0.2276,0.7065,0.0659
"12",11,0.2405,0.7037,0.0558
"13",12,0.2667,0.6809,0.0524
"14",13,0.294,0.6577,0.0483
"15",14,0.3239,0.6299,0.0462
"16",15,0.3463,0.6074,0.0463
"17",16,0.3719,0.5802,0.0479
"18",17,0.4032,0.5502,0.0466
"19",18,0.4364,0.5207,0.0429
"20",19,0.466,0.4913,0.0427
"21",20,0.5002,0.4563,0.0435
"22",21,0.5373,0.4213,0.0414
"23",22,0.5722,0.3858,0.042
"24",23,0.6019,0.3587,0.0394
"25",24,0.6379,0.3242,0.0379
"26",25,0.6642,0.2976,0.0382
"27",26,0.6952,0.262,0.0428
"28",27,0.7209,0.2385,0.0406
"29",28,0.7453,0.2128,0.0419
"30",29,0.7683,0.187,0.0447
"31",30,0.7886,0.1652,0.0462
"32",31,0.8053,0.1476,0.0471
"33",32,0.8194,0.131,0.0496
"34",33,0.8338,0.1175,0.0487
"35",34,0.8435,0.106,0.0505
"36",35,0.849,0.0964,0.0546
"37",36,0.8533,0.0884,0.0583
"38",37,0.8504,0.0856,0.064
"39",38,0.8459,0.0844,0.0697
"40",39,0.8437,0.082,0.0743
"41",40,0.8422,0.0794,0.0784
"42",41,0.8433,0.0758,0.0809
"43",42,0.8388,0.0768,0.0844
"44",43,0.8343,0.075,0.0907
"45",44,0.8321,0.0722,0.0957
"46",45,0.8318,0.0665,0.1017
"47",46,0.8294,0.0642,0.1064
"48",47,0.83,0.0604,0.1096
"49",48,0.826,0.0578,0.1162
"50",49,0.8225,0.0569,0.1206
